timestamp,open,high,low,close,volume
2020-04-28,71.27,71.46,69.55,69.64,112000000.0
2020-04-29,71.18,72.42,70.97,71.93,137280000.0
2020-04-30,72.49,73.63,72.09,73.45,183060000.0
2020-05-01,71.56,74.75,71.46,72.27,240620000.0
2020-05-04,72.29,73.42,71.58,73.29,133570000.0
2020-05-05,73.77,75.25,73.61,74.39,147750000.0
2020-05-06,75.11,75.81,74.72,75.16,142330000.0
2020-05-07,75.81,76.29,75.49,75.94,115220000.0
2020-05-08,76.41,77.59,76.07,77.53,134050000.00000001
2020-05-11,77.03,79.26,76.81,78.75,145950000.0
2020-05-12,79.46,79.92,77.73,77.85,162300000.0
2020-05-13,78.04,78.99,75.8,76.91,200620000.0
2020-05-14,76.13,77.45,75.38,77.39,158930000.0
2020-05-15,75.09,76.97,75.05,76.93,166350000.0
2020-05-18,78.29,79.12,77.58,78.74,135370000.0
2020-05-19,78.76,79.63,78.25,78.28,101730000.0
2020-05-20,79.17,79.88,79.05,79.81,111500000.0
2020-05-21,79.67,80.22,78.97,79.21,102690000.0
2020-05-22,78.94,79.81,78.84,79.72,81800000.0
2020-05-26,80.88,81.06,79.12,79.18,125520000.0
2020-05-27,79.03,79.68,78.27,79.53,112950000.0
2020-05-28,79.19,80.86,78.91,79.56,133800000.00000001
2020-05-29,79.81,80.29,79.12,79.48,153600000.0
2020-06-01,79.44,80.59,79.3,80.46,81020000.0
2020-06-02,80.19,80.86,79.73,80.83,87640000.0
2020-06-03,81.17,81.55,80.58,81.28,104490000.0
2020-06-04,81.1,81.41,80.19,80.58,87560000.0
2020-06-05,80.84,82.94,80.81,82.88,137250000.0
2020-06-08,82.56,83.4,81.83,83.36,95650000.0
2020-06-09,83.03,86.4,83.0,86.0,147710000.0
2020-06-10,86.97,88.69,86.52,88.21,166650000.0
2020-06-11,87.33,87.77,83.87,83.97,201660000.0
2020-06-12,86.18,86.95,83.56,84.7,200150000.0
2020-06-15,83.31,86.42,83.14,85.75,138810000.0
2020-06-16,87.86,88.3,86.18,88.02,165430000.0
2020-06-17,88.79,88.85,87.77,87.9,114410000.0
2020-06-18,87.85,88.36,87.31,87.93,96820000.0
2020-06-19,88.66,89.14,86.29,87.43,264480000.00000003
2020-06-22,87.83,89.86,87.79,89.72,135450000.0
2020-06-23,91.0,93.09,90.57,91.63,212160000.0
2020-06-24,91.25,92.2,89.63,90.02,192620000.0
2020-06-25,90.17,91.25,89.39,91.21,137520000.0
2020-06-26,91.1,91.33,88.25,88.41,205260000.0
2020-06-29,88.31,90.54,87.82,90.44,130650000.0
2020-06-30,90.02,91.5,90.0,91.2,140220000.0
2020-07-01,91.28,91.84,90.98,91.03,110740000.0
2020-07-02,91.96,92.62,90.91,91.03,114040000.0
2020-07-06,92.5,93.94,92.47,93.46,118660000.0
2020-07-07,93.85,94.66,93.06,93.17,112420000.0
2020-07-08,94.18,95.38,94.09,95.34,117090000.0
2020-07-09,96.26,96.32,94.67,95.68,125640000.0
2020-07-10,95.33,95.98,94.71,95.92,90260000.0
2020-07-13,97.27,99.95,95.26,95.48,191650000.0
2020-07-14,94.84,97.25,93.88,97.06,170990000.0
2020-07-15,98.99,99.25,96.49,97.72,153200000.0
2020-07-16,96.56,97.41,95.91,96.52,110580000.0
2020-07-17,96.99,97.15,95.84,96.33,92190000.0
2020-07-20,96.42,98.5,96.06,98.36,90320000.0
2020-07-21,99.17,99.25,96.74,97.0,103650000.0
2020-07-22,96.69,97.97,96.6,97.27,89000000.0
2020-07-23,97.0,97.08,92.01,92.84,197000000.0
2020-07-24,90.99,92.97,89.14,92.61,185440000.0
2020-07-27,93.71,94.91,93.48,94.81,121210000.0
2020-07-28,94.37,94.55,93.25,93.25,103630000.0
2020-07-29,93.75,95.23,93.71,95.04,90330000.0
2020-07-30,94.19,96.3,93.77,96.19,158130000.0
2020-07-31,102.88,106.42,100.83,106.26,374300000.0
2020-08-03,108.2,111.64,107.89,108.94,308150000.0
2020-08-04,109.13,110.79,108.39,109.67,172790000.0
2020-08-05,109.38,110.39,108.9,110.06,121990000.0
2020-08-06,110.41,114.41,109.8,113.9,202430000.0
2020-08-07,113.2,113.67,110.29,111.11,198050000.0
2020-08-10,112.6,113.78,110.0,112.73,212400000.0
2020-08-11,111.97,112.48,109.11,109.38,187900000.0
2020-08-12,110.5,113.28,110.3,113.01,165940000.0
2020-08-13,114.43,116.04,113.93,115.01,210080000.0
2020-08-14,114.83,115.0,113.05,114.91,165570000.0
2020-08-17,116.06,116.09,113.96,114.61,119560000.0
2020-08-18,114.35,116.0,114.01,115.56,105630000.0
2020-08-19,115.98,117.16,115.61,115.71,145540000.0
2020-08-20,115.75,118.39,115.73,118.28,126910000.0
2020-08-21,119.26,124.87,119.25,124.37,338050000.0
2020-08-24,128.7,128.78,123.94,125.86,345940000.0
2020-08-25,124.7,125.18,123.05,124.83,211500000.0
2020-08-26,126.18,126.99,125.08,126.52,163020000.0
2020-08-27,127.14,127.48,123.83,125.01,155550000.0
2020-08-28,126.01,126.44,124.58,124.81,187630000.0
2020-08-31,127.58,131.0,126.0,129.04,225700000.0
2020-09-01,132.76,134.8,130.53,134.18,152470000.0
2020-09-02,137.59,137.98,127.0,131.4,200120000.0
2020-09-03,126.91,128.84,120.5,120.88,257600000.00000003
2020-09-04,120.07,123.7,110.89,120.96,332610000.0
2020-09-08,113.95,118.99,112.68,112.82,231370000.0
2020-09-09,117.26,119.14,115.26,117.32,176940000.0
2020-09-10,120.36,120.5,112.5,113.49,182270000.0
2020-09-11,114.57,115.23,110.0,112.0,180860000.0
2020-09-14,114.72,115.93,112.8,115.36,140150000.0
2020-09-15,118.33,118.83,113.61,115.54,184640000.0
2020-09-16,115.23,116.0,112.04,112.13,155030000.0
2020-09-17,109.72,112.2,108.71,110.34,178010000.0
2020-09-18,110.4,110.88,106.09,106.84,287100000.0
2020-09-21,104.54,110.19,103.1,110.08,195710000.0
2020-09-22,112.68,112.86,109.16,111.81,183060000.0
2020-09-23,111.62,112.11,106.77,107.12,150720000.0
2020-09-24,105.17,110.25,105.0,108.22,167740000.0
2020-09-25,108.43,112.44,107.67,112.28,149980000.0
2020-09-28,115.01,115.32,112.78,114.96,137670000.0
2020-09-29,114.55,115.31,113.57,114.09,100060000.0
2020-09-30,113.79,117.26,113.62,115.81,142680000.0
2020-10-01,117.64,117.72,115.83,116.79,116120000.0
2020-10-02,112.89,115.37,112.22,113.02,144710000.0
2020-10-05,113.91,116.65,113.55,116.5,106240000.0
2020-10-06,115.7,116.12,112.25,113.16,161500000.0
2020-10-07,114.62,115.55,114.13,115.08,96850000.0
2020-10-08,116.25,116.4,114.59,114.97,83480000.0
2020-10-09,115.28,117.0,114.92,116.97,100510000.0
2020-10-12,120.06,125.18,119.28,124.4,240230000.0
2020-10-13,125.27,125.39,119.65,121.1,262329999.99999997
2020-10-14,121.0,123.03,119.62,121.19,151060000.0
2020-10-15,118.72,121.2,118.15,120.71,112560000.0
2020-10-16,121.28,121.55,118.81,119.02,115390000.0
2020-10-19,119.96,120.42,115.66,115.98,120640000.0
2020-10-20,116.2,118.98,115.63,117.51,124420000.0
2020-10-21,116.67,118.7,116.45,116.87,89950000.0
2020-10-22,117.45,118.04,114.59,115.75,101990000.0
2020-10-23,116.39,116.55,114.28,115.04,82570000.0
2020-10-26,114.01,116.55,112.88,115.05,111850000.0
2020-10-27,115.49,117.28,114.54,116.6,92280000.0
2020-10-28,115.05,115.43,111.1,111.2,143940000.0
2020-10-29,112.37,116.93,112.2,115.32,146130000.0
2020-10-30,111.06,111.99,107.72,108.86,190570000.0
2020-11-02,109.11,110.68,107.32,108.77,122870000.0
2020-11-03,109.66,111.49,108.73,110.44,107620000.0
2020-11-04,114.14,115.59,112.35,114.95,138240000.0
2020-11-05,117.95,119.62,116.87,119.03,126390000.0
2020-11-06,118.32,119.2,116.13,118.69,114460000.0
2020-11-09,120.5,121.99,116.05,116.32,154520000.0
2020-11-10,115.55,117.59,114.13,115.97,138020000.0
2020-11-11,117.19,119.63,116.44,119.49,112290000.0
2020-11-12,119.62,120.53,118.57,119.21,103350000.0
2020-11-13,119.44,119.67,117.87,119.26,81690000.0
2020-11-16,118.92,120.99,118.15,120.3,91180000.0
2020-11-17,119.55,120.67,118.96,119.39,74270000.0
2020-11-18,118.61,119.82,118.0,118.03,76320000.0
2020-11-19,117.59,119.06,116.81,118.64,74110000.0
2020-11-20,118.64,118.77,117.29,117.34,73600000.0
2020-11-23,117.18,117.62,113.75,113.85,127960000.0
2020-11-24,113.91,115.85,112.59,115.17,113870000.0
2020-11-25,115.55,116.75,115.17,116.03,76500000.0
2020-11-27,116.57,117.49,116.22,116.59,46690000.0
2020-11-30,116.97,120.97,116.81,119.05,169410000.0
2020-12-01,121.01,123.47,120.01,122.72,128169999.99999999
2020-12-02,122.02,123.37,120.89,123.08,89000000.0
2020-12-03,123.52,123.78,122.21,122.94,78970000.0
2020-12-04,122.6,122.86,121.52,122.25,78260000.0
2020-12-07,122.31,124.57,122.25,123.75,86710000.0
2020-12-08,124.37,124.98,123.09,124.38,82230000.0
2020-12-09,124.53,125.95,121.0,121.78,115090000.0
2020-12-10,120.5,123.87,120.15,123.24,81310000.0
2020-12-11,122.43,122.76,120.55,122.41,86940000.0
2020-12-14,122.6,123.35,121.54,121.78,79080000.0
2020-12-15,124.34,127.9,124.13,127.88,157570000.0
2020-12-16,127.41,128.37,126.56,127.81,98210000.0
2020-12-17,128.9,129.58,128.04,128.7,94360000.0
2020-12-18,128.96,129.1,126.12,126.66,192540000.0
2020-12-21,125.02,128.31,123.45,128.23,121250000.0
2020-12-22,131.61,134.41,129.65,131.88,169350000.0
2020-12-23,132.16,132.43,130.78,130.96,88220000.0
2020-12-24,131.32,133.46,131.1,131.97,54930000.0
2020-12-28,133.99,137.34,133.51,136.69,124490000.0
2020-12-29,138.05,138.79,134.34,134.87,121050000.0
2020-12-30,135.58,135.99,133.4,133.72,96450000.0
2020-12-31,134.08,134.74,131.72,132.69,99120000.0
2021-01-04,133.52,133.61,126.76,129.41,143300000.0
2021-01-05,128.89,131.74,128.43,131.01,97660000.0
2021-01-06,127.72,131.05,126.38,126.6,155090000.0
2021-01-07,128.36,131.63,127.86,130.92,109580000.0
2021-01-08,132.43,132.63,130.23,132.05,105160000.0
2021-01-11,129.19,130.17,128.5,128.98,100620000.0
2021-01-12,128.5,129.69,126.86,128.8,91950000.0
2021-01-13,128.76,131.45,128.49,130.89,88640000.0
2021-01-14,130.8,131.0,128.76,128.91,90220000.0
2021-01-15,128.78,130.22,127.0,127.14,111600000.0
2021-01-19,127.78,128.71,126.94,127.83,90760000.0
2021-01-20,128.66,132.49,128.55,132.03,104320000.0
2021-01-21,133.8,139.67,133.59,136.87,120530000.0
2021-01-22,136.28,139.85,135.02,139.07,114460000.0
2021-01-25,143.07,145.09,136.54,142.92,157610000.0
2021-01-26,143.6,144.3,141.37,143.16,98390000.0
2021-01-27,143.43,144.3,140.41,142.06,140840000.0
2021-01-28,139.52,141.99,136.7,137.09,142620000.0
2021-01-29,135.83,136.74,130.21,131.96,177520000.0
2021-02-01,133.75,135.38,130.93,134.14,106240000.0
2021-02-02,135.73,136.31,134.61,134.99,83310000.0
