timestamp,open,high,low,close,volume
2019-12-24,29706,30107,29003,29405,367817
2019-12-26,29304,29706,29304,29706,320921
2019-12-27,30007,30910,29906,30810,690548
2019-12-30,30910,31111,30709,30810,428587
2020-01-02,30909,31010,30508,30609,241047
2020-01-03,30810,31111,30308,30609,314848
2020-01-06,30206,31109,30106,31010,393715
2020-01-07,31110,32113,31009,32114,840186
2020-01-08,31813,32516,31412,32014,851619
2020-01-09,32816,33216,32615,32917,878319
2020-01-10,33118,33419,32716,33118,401906
2020-01-13,33217,33618,33117,33519,475667
2020-01-14,33618,33818,33217,33519,423286
2020-01-15,33518,34220,33418,34121,462119
2020-01-16,34120,34521,34120,34422,260049
2020-01-17,34420,34621,33719,33820,354724
2020-01-20,33919,34119,33518,33820,380510
2020-01-21,33820,33921,32817,33118,389155
2020-01-22,33317,33919,33016,33318,504350
2020-01-23,33718,33718,33016,33218,323420
2020-01-28,32114,32817,32014,32616,513228
2020-01-29,33218,33318,32616,32817,255167
2020-01-30,32716,33218,32215,32516,418908
2020-01-31,32614,32915,31812,31913,346067
2020-02-03,31311,32215,31311,32014,423907
2020-02-04,32414,33216,32214,33017,394773
2020-02-05,33417,33517,32414,32716,456954
2020-02-06,33217,33718,32816,33318,552044
2020-02-07,33519,34222,33318,33620,522100
2020-02-10,33620,34021,33318,33921,375209
2020-02-11,33920,34120,33719,34121,307120
2020-02-12,34021,34523,33720,34523,407917
2020-02-13,35025,36430,34824,35928,1877980
2020-02-14,36329,37032,35928,36129,948085
2020-02-17,36129,36530,35928,36229,329408
2020-02-18,36229,36831,35928,36530,587253
2020-02-19,36931,38236,36831,38136,1362998
2020-02-20,38235,38435,37733,38236,547405
2020-02-21,37834,38435,37633,38035,558497
2020-02-24,37030,37331,36529,36831,792733
2020-02-25,36529,37331,36128,37232,596763
2020-02-26,36830,37230,36429,36931,516378
2020-02-27,36929,37230,35425,35827,785062
2020-02-28,35025,35426,34222,34523,1022917
2020-03-02,35025,35426,34021,35125,793495
